2, 100, 692972, 200034, 893006, 298, 671.255, 313, 65
3, 200, 686917, 197478, 884395, 298, 662.679, 313, 65
4, 300, 677401, 191775, 869176, 292, 656.764, 313, 65
5, 400, 669081, 187494, 856575, 287, 653.288, 313, 65
6, 500, 664701, 185308, 850009, 286, 647.929, 313, 65
7, 600, 651852, 182023, 833875, 280, 650.082, 314, 65
8, 701, 659062, 183080, 842142, 285, 642.386, 313, 65
9, 801, 648185, 179646, 827831, 280, 641.592, 313, 65
10, 901, 643866, 178344, 822210, 279, 639.225, 313, 65
11, 1001, 647019, 177736, 824755, 280, 634.77, 313, 65
12, 1101, 637451, 175302, 812753, 276, 635.151, 313, 65
13, 1201, 640805, 175544, 816349, 278, 631.452, 313, 65
14, 1302, 633338, 173686, 807024, 275, 631.586, 313, 65
15, 1402, 626436, 172028, 798464, 272, 632.455, 313, 65
16, 1502, 633389, 175733, 809122, 278, 632.134, 313, 65
17, 1602, 633789, 175250, 809039, 278, 630.395, 313, 65
18, 1702, 630546, 173016, 803562, 275, 629.148, 313, 65
19, 1802, 632181, 173866, 806047, 277, 627.674, 313, 65
20, 1903, 631010, 172582, 803592, 276, 625.299, 313, 65
21, 2003, 623713, 171034, 794747, 272, 628.8, 313, 65
22, 2103, 619814, 168714, 788528, 270, 624.866, 313, 65
23, 2203, 618139, 169146, 787285, 269, 628.797, 314, 65
24, 2303, 616885, 169693, 786578, 270, 628.493, 314, 65
25, 2403, 620343, 167620, 787963, 271, 618.523, 313, 65
26, 2504, 618651, 165952, 784603, 268, 619.225, 313, 65
27, 2604, 626245, 170373, 796618, 275, 619.54, 313, 65
28, 2704, 620913, 168346, 789259, 271, 621.203, 313, 65
29, 2804, 620111, 167328, 787439, 270, 619.732, 313, 65
30, 2904, 617218, 166267, 783485, 268, 620.4, 313, 65
31, 3004, 614026, 166765, 780791, 267, 624.586, 314, 65
32, 3105, 614116, 168028, 782144, 268, 626.97, 314, 65
33, 3205, 610226, 166166, 776392, 266, 624.685, 314, 65
34, 3305, 617094, 165836, 782930, 269, 616.49, 313, 65
35, 3405, 618535, 170490, 789025, 272, 626.803, 314, 65
36, 3505, 623384, 169311, 792695, 272, 622.468, 314, 65
37, 3605, 616059, 168642, 784701, 270, 624.6, 314, 65
38, 3706, 620582, 170021, 790603, 272, 625.077, 314, 65
39, 3806, 615700, 166408, 782108, 268, 620.926, 314, 65
40, 3906, 617473, 167826, 785299, 270, 621.578, 314, 65
41, 4006, 608672, 165330, 774002, 265, 623.888, 314, 65
42, 4106, 608774, 164054, 772828, 264, 621.416, 314, 65
43, 4206, 621269, 170757, 792026, 273, 625.482, 314, 65
44, 4307, 620739, 168734, 789473, 271, 622.636, 314, 65
45, 4407, 605855, 163625, 769480, 263, 622.148, 314, 65
46, 4507, 614925, 168742, 783667, 270, 624.97, 314, 65
47, 4607, 613067, 165789, 778856, 267, 620.932, 314, 65
48, 4707, 620145, 168555, 788700, 271, 621.973, 314, 65
49, 4807, 613280, 165474, 778754, 266, 622.082, 314, 65
50, 4907, 624969, 170147, 795116, 274, 620.975, 314, 65
51, 5008, 619088, 167208, 786296, 270, 619.288, 314, 65
52, 5108, 609346, 164039, 773385, 265, 619.016, 314, 65
53, 5208, 612444, 165953, 778397, 267, 621.545, 314, 65
54, 5308, 615556, 167200, 782756, 269, 621.562, 314, 65
55, 5408, 614517, 166109, 780626, 268, 619.811, 314, 65
56, 5508, 612051, 165344, 777395, 267, 619.266, 314, 65
57, 5609, 621350, 168994, 790344, 272, 621.301, 314, 65
58, 5709, 620576, 169722, 790298, 272, 623.978, 314, 65
59, 5809, 620437, 166688, 787125, 270, 617.364, 314, 65
60, 5909, 621804, 167834, 789638, 271, 619.315, 314, 65
61, 6009, 611094, 164100, 775194, 264, 621.592, 314, 65
62, 6109, 620435, 166798, 787233, 269, 620.068, 314, 65
63, 6210, 618429, 165368, 783797, 268, 617.047, 314, 65
64, 6310, 621670, 167357, 789027, 271, 617.553, 314, 65
65, 6410, 617341, 166608, 783949, 269, 619.359, 314, 65
66, 6510, 626618, 168253, 794871, 273, 616.31, 314, 65
67, 6610, 612122, 164003, 776125, 264, 621.222, 314, 65
68, 6710, 622721, 165554, 788275, 269, 615.441, 314, 65
69, 6811, 613361, 165541, 778902, 267, 620.005, 314, 65
70, 6911, 618014, 165524, 783538, 268, 617.627, 314, 65
71, 7011, 628951, 169357, 798308, 275, 615.844, 314, 65
72, 7111, 623418, 165327, 788745, 269, 614.597, 314, 65
73, 7211, 621013, 165904, 786917, 269, 616.742, 314, 65
74, 7311, 626880, 168670, 795550, 273, 617.838, 314, 65
75, 7412, 625927, 166536, 792463, 271, 614.523, 314, 65
76, 7512, 632560, 170471, 803031, 276, 617.649, 314, 65
77, 7612, 626823, 169181, 796004, 273, 619.712, 314, 65
78, 7712, 625044, 166620, 791664, 272, 612.575, 314, 65
79, 7812, 631655, 170249, 801904, 276, 616.844, 314, 65
80, 7912, 622629, 165786, 788415, 269, 616.304, 314, 65
81, 8013, 618863, 164479, 783342, 267, 616.027, 314, 65
82, 8113, 621727, 167089, 788816, 270, 618.849, 314, 65
83, 8213, 624763, 164387, 789150, 268, 613.384, 314, 65
84, 8313, 620295, 164048, 784343, 267, 614.411, 314, 65
85, 8413, 617476, 164912, 782388, 268, 615.342, 314, 65
86, 8513, 626280, 166369, 792649, 271, 613.91, 314, 65
87, 8614, 622519, 166366, 788885, 270, 616.17, 314, 65
88, 8714, 620870, 166342, 787212, 269, 618.373, 314, 65
89, 8814, 617735, 163159, 780894, 265, 615.693, 314, 65
90, 8914, 627342, 167037, 794379, 272, 614.107, 314, 65
91, 9014, 627136, 167981, 795117, 273, 615.315, 314, 65
92, 9114, 627969, 167182, 795151, 273, 612.389, 314, 65
93, 9215, 623990, 165320, 789310, 270, 612.296, 314, 65
94, 9315, 618088, 163878, 781966, 267, 613.775, 314, 65
95, 9415, 626795, 165540, 792335, 271, 610.849, 314, 65
96, 9515, 622861, 164564, 787425, 268, 614.044, 314, 65
97, 9615, 632746, 168078, 800824, 274, 613.425, 314, 65
